,name,average_review,review_count,price_range,street_address,restaurant_type
190,Cleo At MONDRIAN PARK AVENUE,4.568,68,$31 to $50,"444​ ​Park​ ​Avenue​ ​South New York, NY  10016",Mediterranean
191,Naoki Takahashi,4.692,92,$31 to $50,"311 W 17th Street New York, NY  10011",Japanese
192,Junoon Main Dining Room,4.52027,2027,$50 and over,"27 West 24th St. New York, NY  10010",Indian
193,Brasserie Cognac,4.11476,1476,$31 to $50,"1740 Broadway New York, NY  10019",French
194,Scampi,4.612,12,$30 and under,"30 W 18th St New York, NY  10011",Italian
195,Society Cafe,4.4132,132,$31 to $50,"52 W 13th Street New York, NY  10011",American
196,Suzuki,4.588,88,$50 and over,"114 W 47th Street New York, NY  10036",Japanese
197,Inakaya,4.51087,1087,$31 to $50,"231 West 40th Street New York, NY  10018",Japanese
198,Rossini's Restaurant,4.71132,1132,$31 to $50,"108 East 38 Street New York, NY  10016",Italian
199,Charlie Palmer Steak,4.545,450,$31 to $50,"47 West 38th Street New York, NY  10018",Steakhouse
200,Bocca,4.41561,1561,$30 and under,"39 East 19th Street New York, NY  10003",Italian
201,NYY Steak Midtown- New York Yankees Steakhouse,4.7995,995,$31 to $50,"7 West 51st Street New York, NY  10019",Steakhouse
202,Irvington,4.5209,209,$30 and under,"201 Park Ave S New York, NY 10003 New York, NY  10003",Contemporary American
203,Charlie Palmer at The Knick,4.3315,315,$31 to $50,"6 Times Square New York, NY 10036 New York, NY  10036",Contemporary American
204,Nick & Stef’s Steakhouse - New York,4.41931,1931,$31 to $50,"9 Penn Plaza New York, NY  10001",Steakhouse
205,Altesi Ristorante,4.539,390,$31 to $50,"26 E 64th Street New York, NY  10065",Italian
206,Giorgio's of Gramercy,4.72089,2089,$31 to $50,"27 East 21st Street New York, NY  10010",Contemporary American
207,Perrine,4.5169,169,$31 to $50,"2 East 61st Street New York, NY  10065",French American
208,La Fonda Del Sol,4.41141,1141,$31 to $50,"200 Park Avenue at East 44th Street MetLife Building New York, NY  10020",Spanish
209,Morrell Wine Bar & Cafe,4.5761,761,$31 to $50,"1 Rockefeller Plaza New York, NY  10020",American
210,Bobby Van's Grill Times Square,4.31095,1095,$50 and over,"120 W. 45th Street New York, NY  10036",American
211,Kingside,4.1406,406,$31 to $50,"124 WEST 57TH ST New York, NY  10019",American
212,I Trulli,4.52088,2088,$31 to $50,"122 East 27th Street New York, NY  10016",Italian
213,Haru Hell's Kitchen,4.482,82,$31 to $50,"859 9th Ave New York, NY  10019",Japanese
214,Bob's Steak & Chop House-New York,4.6117,117,$50 and over,"19 East 52nd St. New York, NY  10022",Steakhouse
215,Il Postino,4.6473,473,$50 and over,"337 East 49th Street New York, NY  10017",Italian
216,Restaurant Nippon,4.6368,368,$31 to $50,"155 East 52nd Street New York, NY  10022",Japanese
217,Green Fig,3.9176,176,$31 to $50,"570 10th Ave New York, NY  10036",Mediterranean
218,Tender Restaurant,4.3488,488,$31 to $50,"130 W 47th Street New York, NY  10036",American
219,.Tarallucci e Vino Union Square,4.4582,582,$31 to $50,"15 East 18th Street New York, NY  10003",Italian
220,Bobby Van's Steakhouse - 54th Street,4.7897,897,$31 to $50,"131 E. 54th Street New York, NY  10169",Steakhouse
221,Astor Court,4.5263,263,$31 to $50,"2 East 55th Street New York, NY  10022",International
222,Sofrito NYC,3.9566,566,$30 and under,"679 Riverside Dr. New York, NY  10031",Latin / Spanish
223,Tarallucci e Vino NoMad,4.3116,116,$31 to $50,"44 East 28th Street New York, NY  10016",Italian
224,Frankie & Johnnie's Steakhouse - Manhattan,4.41421,1421,$31 to $50,"32 West 37th New York, NY  10018",Steak
